Label_N;COREDE;CD_GEOCMU;IDESE_2013;POUPANCA;OP_CREDITO;OBRIGACOES _RECEBIMENTO;DEP_A_VISTA_PRIV;DEP_A_VISTA_GOV;DEP_PRAZO;COOP_CRED;CEF;BANCO_COM;N_VINCULOS_EMP;DENS_DEM_HABKM2;IMPOSTOS;AREA_KM2;PIB_PERC;PIB;POPULACAO
Coronel Bicaco;Celeiro;4305900;0,698411792;6642667;77530988;55841;1958407;183907;10497981;;;2;1090;15,46155034;9230,252;492,124;27661,97;218114,652;7772
Crissiumal;Celeiro;4306007;0,737361607;38206579;94715807;26040;5834837;888999;4710777;;1;2;3536;38,33770537;14608,703;362,15;17303,24;248474,575;14282
Derrubadas;Celeiro;4306320;0,696333938;496670;1026232;0;133794;114430;0;;;1;413;8,563146631;2279,537;361,199;22469,47;71879,832;3135
Esperança do Sul;Celeiro;4307450;0,646283165;;;;;;;;;;359;21,62031015;2011,138;148,379;17397,23;57254,283;3475
Humaitá;Celeiro;4309704;0,76115713;6573320;8936031;0;2371859;536615;0;1;;1;1166;36,1452053;6197,996;134,513;23785,5;119641,055;5049
Inhacorá;Celeiro;4310413;0,675038151;;;;;;;;;;346;19,81404071;1900,295;114,111;21219,78;49314,762;2415
Miraguaí;Celeiro;4312302;0,758644682;2088809;10667219;0;1298036;560863;0;;;1;1824;37,73440196;10974,162;130,385;23822,33;118873,444;5077
Redentora;Celeiro;4315404;0,598789156;2173972;14759395;587;1147004;41063;449380;;;2;776;35,05682569;4587,441;302,68;12000,68;130147,344;10697
Santo Augusto;Celeiro;4317806;0,760714536;35997943;237695390;70203;8422912;2115742;10220155;;1;3;3981;29,90147489;27327,613;468,104;28442,78;408580,48;14608
São Martinho;Celeiro;4319109;0,774562363;8760705;47544353;43357;3693946;120051;934840;;;2;1409;33,26304016;14109,516;171,662;29813,72;174946,933;5935
São Valério do Sul;Celeiro;4319737;0,656729315;;;;;;;;;;245;25,23849217;676,13;107,97;17207,65;47200,58;2989
Sede Nova;Celeiro;4320230;0,753830394;;;;;;;;;;539;25,12217407;4479,472;119,297;26519,68;81627,564;3061
Tenente Portela;Celeiro;4321402;0,72079907;33892953;121080933;29604;9256863;1851573;12820007;1;1;3;2927;40,18539826;15923,885;338,083;18597,66;261762,106;14306
Tiradentes do Sul;Celeiro;4321477;0,697360246;553503;2210646;0;223875;68079;0;1;;1;605;26,67997254;5191,86;234,483;15004,52;97289,325;6200
Três Passos;Celeiro;4321907;0,759109254;106276320;268894397;67818;17166966;415287;20905694;;1;3;7660;89,37912637;53208,748;268,396;21965,31;541774,263;25231
Vista Gaúcha;Celeiro;4323705;0,772650479;;;;;;;;;;548;31,34616035;1736,935;88,719;18804,86;53819,512;2839
Agudo;Central;4300109;0,702817421;60413751;129527759;28351;7005194;593901;5826631;1;1;3;3374;31,04563582;26733,502;536,114;20612,1;353724,193;17044
